ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
5634,3392,1,Aaron Maashoh,23,821000265,Scientist,19114.12,1824.8433333333328,3,4,3,4,"auto loan,credit-builder loan,personal loan,home equity loan",3,7,11.27,4,Good,809.98,26.822619623699016,265,No,49.57494921489417,21.465380264657146,High_spent_Small_value_payments,312.49408867943663,Good
5646,8625,1,Rick Rothackerj,28,4075839,Teacher,34847.84,3037.986666666666,2,4,6,1,credit-builder loan,3,4,5.42,2,Good,605.03,24.46403063758457,319,No,18.816214573128885,39.684018417945296,Low_spent_Small_value_payments,470.69062692529184,Standard
5658,11708,1,Langep,34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"auto loan,auto loan,not specified",5,8,7.1,3,Good,1303.01,28.616734823006844,213,No,246.9923194537421,168.4137027,High_spent_Small_value_payments,1043.3159778669492,Good
5670,47249,1,Jasond,54,72316145,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,not specified,0,6,1.99,4,Good,632.46,26.54422872407309,207,No,16.415451659824875,29.393311428984493,Low_spent_Large_value_payments,433.6047729627723,Standard
5706,10314,1,Nadiaq,33,411510676,Lawyer,131313.4,11242.783333333333,0,1,8,2,"credit-builder loan,mortgage loan",0,3,9.34,2,Good,352.16,32.200508995391914,367,NM,137.6446054014217,86.56638801207531,High_spent_Medium_value_payments,858.4624744,Good
5718,21511,1,Annk,30,500926408,Media_Manager,34081.38,2611.115,8,7,15,3,"not specified,auto loan,student loan",30,11,17.13,5,Standard,1704.18,24.44806274625548,176,NM,70.47833267207261,29.32636371091455,Low_spent_Large_value_payments,298.19215813115227,Poor
5730,16727,1,Charlie Zhur,23,70191622,Doctor,114838.41,9843.8675,2,5,7,3,"personal loan,debt consolidation loan,auto loan",13,11,8.24,3,Good,1377.74,33.66455429077268,256,No,226.8927919215432,212.23560220847847,High_spent_Small_value_payments,802.3004421328528,Good
5742,47624,1,Jamesj,44,366681681,Journalist,31370.8,2825.233333333333,0,5,12,2,"not specified,payday loan",4,0,5.76,2,Good,421.43,29.51935255713933,318,NM,46.61612907334207,22.29805714008664,High_spent_Small_value_payments,341.55442316289026,Good
5754,42603,1,Saphirj,40,221308554,Teacher,33751.27,2948.605833333333,5,5,20,3,"credit-builder loan,personal loan,auto loan",16,20,11,4,Standard,1328.93,37.08907564543987,230,NM,65.00817428651536,25.192561910314712,High_spent_Medium_value_payments,362.5457119402324,Standard
5766,49323,1,Soyoungd,32,342902649,Engineer,88640.24,7266.686666666667,3,6,1,2,"payday loan,payday loan",4,0,3.51,3,Good,950.36,28.210617211444603,305,No,135.17337097171767,77.84134310772485,High_spent_Large_value_payments,732.5635317,Standard
